"1";"1";"Ryley";"Brown";"JoshuaTaylor8";"Valentine's Day";"2016-02-14 01:00:00";"2016-02-14 01:00:00";"Once";"0000-00-00 00:00:00";;"0";NULL;"Public";"0"
"2";"1";"Josh";"Sparks";"JoshuaTaylor8";"First Day";"2015-02-01 01:00:00";"0000-00-00 00:00:00";"Once";"0000-00-00 00:00:00";;"0";NULL;"Public";"0"
"5";"1";"Josh";"Sparks";"JoshuaTaylor8";"The Seventh";"2015-02-07 01:00:00";"2015-02-07 01:00:00";"Once";"0000-00-00 00:00:00";;"0";NULL;"Public";"0"
"7";"1";"Josh";"Sparks";"JoshuaTaylor8";"Something Surely";"2015-02-02 01:00:00";"2015-02-02 18:00:00";"Once";"0000-00-00 00:00:00";;"0";NULL;"Public";"0"
"9";"1";"Josh";"Sparks";"JoshuaTaylor8";"February Fifth";"2015-02-05 01:25:00";"2015-02-05 01:45:00";"Weekly 04";"2015-02-26 01:00:00";;"0";NULL;"Public";"0"
"10";"2";"Josh";"Sparks";"JoshuaTaylor8";"February Fifth";"2015-02-05 01:25:00";"2015-02-05 01:45:00";"Once";"0000-00-00 00:00:00";;"0";NULL;"Public";"0"
"12";"1";"Josh";"Sparks";"JoshuaTaylor8";"Bucks part";"2015-02-11 01:00:00";"2015-02-11 01:00:00";"Once";"2015-04-14 01:00:00";;"0";NULL;"Public";"0"
"16";"1";"Josh";"Sparks";"JoshuaTaylor8";"changed2";"2015-05-11 08:15:00";"2015-03-24 09:15:00";"Once";"2015-04-14 01:00:00";;"0";NULL;"null";"0"
"19";"1";"Josh";"Sparks";"JoshuaTaylor8";"February Fourth";"2015-02-04 01:00:00";"2015-02-04 01:00:00";"Once";NULL;;"0";NULL;"Public";"0"
"21";"1";"Josh";"Sparks";"JoshuaTaylor8";"February 6th";"2015-02-06 01:00:00";"2015-02-06 01:00:00";"Once";NULL;;"0";NULL;"Public";"0"
"22";"1";"Josh";"Sparks";"JoshuaTaylor8";"February 9th";"2015-02-09 01:00:00";"2015-02-09 01:00:00";"Once";NULL;;"0";NULL;"Public";"0"
"23";"1";"Josh";"Sparks";"JoshuaTaylor8";"Found";"2015-02-03 01:00:00";"2015-02-03 01:00:00";"Once";NULL;;"0";NULL;"Public";"0"
"25";"1";"Josh";"Sparks";"JoshuaTaylor8";"March 3rd probably";"2015-03-03 01:00:00";"2015-03-03 01:00:00";"Once";NULL;;"0";NULL;"Public";"0"
"26";"1";"Josh";"Sparks";"JoshuaTaylor8";"New Years Day";"2015-01-01 01:00:00";"2015-01-01 01:00:00";"Once";NULL;;"0";NULL;"Private";"0"
"29";"1";"Josh";"Sparks";"JoshuaTaylor8";"Probably Something Else";"2015-02-02 04:00:00";"2015-02-02 07:00:00";"Once";NULL;;"0";NULL;"Public";"0"
"30";"1";"Josh";"Sparks";"JoshuaTaylor8";"Wichita State Game";"2015-03-26 17:15:00";"2015-03-26 20:00:00";"Once";NULL;;"0";NULL;"Public";"0"
"32";"2";"Jeremy";"Jasper";"JJasp";"Get Back From MOAB";"2015-03-29 17:00:00";"2015-03-29 17:00:00";"Once";NULL;;"0";NULL;"Private";"0"
"52";"1";"Josh";"Sparks";"JoshuaTaylor8";"Once More";"2015-01-02 01:00:00";"2015-01-02 01:00:00";"Once";NULL;;"0";NULL;"Private";"0"
"53";"1";"Josh";"Sparks";"JoshuaTaylor8";"Halloween";"2015-10-31 01:00:00";"2015-10-31 01:00:00";"Once";NULL;"1,";"1";"1 Josh Sparks";"Public";"0"
"71";"1";"Josh";"Sparks";"JoshuaTaylor8";"Youth Group";"2015-01-01 01:00:00";"2015-01-01 01:00:00";"Once";NULL;;"0";NULL;"Public";"0"
"85";"1";"Josh";"Sparks";"JoshuaTaylor8";"Church";"2015-03-01 07:30:00";"2015-03-01 13:00:00";"Weekly 7";"2015-05-01 13:00:00";;"0";NULL;"Public";"0"
"88";"1";"Josh";"Sparks";"JoshuaTaylor8";"Fridays";"2015-03-06 01:00:00";"2015-03-06 01:00:00";"Once";NULL;;"0";NULL;"undefined";"0"
"89";"1";"Josh";"Sparks";"JoshuaTaylor8";"Friday";"2015-04-10 01:00:00";"2015-04-10 01:00:00";"Weekly 5";"2015-04-04 01:00:00";;"0";NULL;"Public";"0"
"92";"1";"Josh";"Sparks";"JoshuaTaylor8";"Work Still";"2015-03-05 01:00:00";"2015-03-05 01:00:00";"Once";NULL;;"0";NULL;"Public";"0"
"97";"1";"Josh";"Sparks";"JoshuaTaylor8";"Duke Game";"2015-03-29 15:05:00";"2015-03-29 17:00:00";"Once";NULL;"1,";"1";"1 Josh Sparks";"Public";"0"
"98";"1";"Josh";"Sparks";"JoshuaTaylor8";"Kentucky Game";"2015-03-28 18:45:00";"2015-03-28 20:30:00";"Once";NULL;"1,";"1";"1 Josh Sparks";"Public";"0"
"99";"1";"Josh";"Sparks";"JoshuaTaylor8";"This is from Notifications";"2015-01-01 01:00:00";"2015-01-01 01:00:00";"Once";NULL;;"0";NULL;"Public";"0"
"100";"1";"Josh";"Sparks";"JoshuaTaylor8";"This is from requests";"2015-01-02 01:00:00";"2015-01-03 01:00:00";"Once";NULL;;"0";NULL;"Public";"0"
"101";"1";"Josh";"Sparks";"JoshuaTaylor8";"This is from another calendar";"2015-01-03 01:00:00";"2015-01-03 01:00:00";"Once";NULL;;"0";NULL;"Public";"0"
"102";"1";"Josh";"Sparks";"JoshuaTaylor8";"Thursday April second";"2015-04-04 01:00:00";"2015-04-04 23:55:00";"Once";NULL;;"0";NULL;"Public";"0"
"103";"1";"Josh";"Sparks";"JoshuaTaylor8";"Lunch With Ashley Johnson";"2015-04-28 15:00:00";"2015-04-28 16:30:00";"Once";NULL;"1,";"1";"1 Josh Sparks";"Public";"0"
"104";"1";"Josh";"Sparks";"JoshuaTaylor8";"Lunch With Mikey McGuire";"2016-02-24 13:00:00";"2016-02-24 14:00:00";"Once";NULL;;"0";NULL;"Public";"0"
"105";"1";"Josh";"Sparks";"JoshuaTaylor8";"Haircut";"2015-04-26 13:00:00";"2015-04-26 13:45:00";"Once";NULL;;"0";NULL;"Public";"0"
"108";"71";"Terrence";"Mullen";"Terbear159";"Go home!!";"2015-05-07 10:00:00";"2015-05-07 10:00:00";"Once";NULL;"1,";"1";"1 Josh Sparks";"Public";"0"
